step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,2720.28,-1.0,-1.0,-1.0,-1.0,8.02,0.0184881,1000,38806
3,insert,23.314,-1.0,-1.0,-1.0,-1.0,10.395,0.0226489,997,49334
4,search,2056.05,-1.0,-1.0,-1.0,-1.0,9.641,0.0226571,995,49334
5,insert,15.686,-1.0,-1.0,-1.0,-1.0,163.701,0.033261,985,73557
6,search,1980.68,-1.0,-1.0,-1.0,-1.0,109.376,0.0333809,988,73557
7,insert,22.491,-1.0,-1.0,-1.0,-1.0,105.84,0.043066,988,95766
8,search,1991.55,-1.0,-1.0,-1.0,-1.0,97.167,0.0432598,992,95766
9,insert,5.541,-1.0,-1.0,-1.0,-1.0,76.324,0.0449698,992,100025
10,search,2061.73,-1.0,-1.0,-1.0,-1.0,81.606,0.0449918,994,100025
11,insert,9.081,-1.0,-1.0,-1.0,-1.0,15.419,0.0501926,996,111417
