step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors,silleheoute_mean,silleheoute_std_dev
2,search,2858.61,37.306,293.561,0.540552,482.29,-nan,-nan,0.83112,0.139674,-1.0,-1.0,7.176,0.0184881,1000,38806,0.0481552,0.0764215,
3,insert,10.949,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.58,0.0226893,995,49334,0.031224,0.0782707,
4,search,2353.83,65.4907,153.473,0.949213,157.785,-nan,-nan,0.84438,0.139792,-1.0,-1.0,38.521,0.0226836,988,49334,0.0306269,0.0786408,
5,insert,12.173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,220.632,0.0330921,973,73557,0.013662,0.0728127,
6,search,1730.38,198.808,181.446,1.80123,64.426,-nan,-nan,0.91347,0.1126,-1.0,-1.0,95.583,0.0331427,974,73557,0.0136931,0.0717552,
7,insert,11.947,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96.442,0.0428274,975,95766,0.00350572,0.0694801,
8,search,1593.52,249.649,193.196,1.62546,63.1557,-nan,-nan,0.91131,0.113758,-1.0,-1.0,20.107,0.0433047,979,95766,0.00321126,0.0697775,
9,insert,2.648,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.903,0.0450563,979,100025,0.00304833,0.0705768,
10,search,1736.06,253.4,176.331,1.28113,83.1989,-nan,-nan,0.91187,0.112315,-1.0,-1.0,11.029,0.0451117,983,100025,0.00274555,0.0688998,
11,insert,4.311,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.908,0.0499416,983,111417,-0.00256859,0.0683584,
12,search,1735.05,294.676,199.471,1.29274,73.8212,-nan,-nan,0.91046,0.11371,-1.0,-1.0,9.604,0.0500551,987,111417,-0.000659093,0.0707141,
13,insert,17.895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.317,0.0610503,987,137139,-0.0030937,0.0635938,
14,search,1812.33,329.309,219.583,1.26896,77.0092,-nan,-nan,0.90656,0.116661,-1.0,-1.0,7.204,0.0610641,989,137139,-0.00323246,0.0641389,
15,insert,7.43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.311,0.0695962,992,156710,-0.00404804,0.0625114,
16,search,1767.5,360.375,230.702,1.23382,71.1503,-nan,-nan,0.90344,0.11765,-1.0,-1.0,4.044,0.0695962,992,156710,-0.0021428,0.0635274,
17,insert,2.147,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.466,0.0718965,995,161773,-0.00578649,0.063447,
18,search,1775.58,375.119,239.23,1.14144,79.0919,-nan,-nan,0.90537,0.116405,-1.0,-1.0,6.807,0.0719006,996,161773,-0.0057422,0.0635047,
19,insert,19.104,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.616,0.0785021,997,177161,-0.00673169,0.0620932,
20,search,1800.4,415.047,261.647,1.20258,77.4051,-nan,-nan,0.91005,0.112435,-1.0,-1.0,5.578,0.0785021,998,177161,-0.00611008,0.0623675,
21,insert,189.577,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,103.458,0.201671,1046,448898,-0.00948841,0.0511418,
