step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,3119.98,37.4251,337.059,0.542339,590.306,-nan,-nan,0.844,0.1346,-1.0,-1.0,19.116,0.0184881,1000,38806
3,insert,24.997,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.207,0.022655,996,49334
4,search,2478.03,65.1954,172.243,1.02629,182.991,-nan,-nan,0.8558,0.133903,-1.0,-1.0,11.045,0.0226615,993,49334
5,insert,16.566,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,161.104,0.033017,984,73557
6,search,2312.4,190.054,188.271,1.6293,86.4517,-nan,-nan,0.91846,0.108847,-1.0,-1.0,140.844,0.0330521,985,73557
7,insert,23.37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,144.286,0.0425581,986,95766
8,search,2398.93,238.37,199.126,1.46738,96.1916,-nan,-nan,0.9187,0.10833,-1.0,-1.0,92.957,0.0428004,989,95766
9,insert,5.936,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,74.015,0.044627,989,100025
10,search,2363.99,245.311,196.076,1.3594,98.7188,-nan,-nan,0.91993,0.105737,-1.0,-1.0,19.649,0.0450612,993,100025
11,insert,8.451,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.19,0.049827,996,111417
12,search,2408.5,279.141,205.534,1.18839,114.879,-nan,-nan,0.9178,0.108016,-1.0,-1.0,15.176,0.0499861,998,111417
13,insert,19.103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.188,0.0613151,1000,137139
14,search,2438.46,315.833,232.396,1.16178,113.06,-nan,-nan,0.91348,0.110604,-1.0,-1.0,13.984,0.0613273,1003,137139
15,insert,15.059,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.234,0.0698504,1003,156710
16,search,2455.44,348.477,247.424,1.12924,104.21,-nan,-nan,0.91087,0.110722,-1.0,-1.0,9.026,0.06985,1004,156710
17,insert,3.621,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.662,0.071841,1006,161773
18,search,2430.87,359.776,247.507,1.13628,103.595,-nan,-nan,0.91165,0.110745,-1.0,-1.0,9.143,0.0718998,1007,161773
19,insert,31.058,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.149,0.078733,1008,177161
20,search,2466.25,397.871,267.363,1.1276,99.2325,-nan,-nan,0.91665,0.106402,-1.0,-1.0,9.216,0.078733,1009,177161
21,insert,319.958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,160.932,0.200572,1054,448898
22,search,2680.99,804.423,477.305,1.05132,74.368,-nan,-nan,0.9029,0.113107,-1.0,-1.0,33.824,0.20057,1062,448898
23,insert,389.466,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,252.388,0.328638,1114,733493
24,search,2932.31,1115.83,655.345,1.02094,74.2773,-nan,-nan,0.89851,0.115125,-1.0,-1.0,71.309,0.328826,1127,733493
