step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,3239.02,37.4251,357.034,0.493315,641.35,-nan,-nan,0.844,0.1346,-1.0,-1.0,6.551,0.0184881,1000,38806
3,insert,25.368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.157,0.0226893,995,49334
4,search,2488.24,65.147,196.543,1.11729,190.883,-nan,-nan,0.85634,0.133964,-1.0,-1.0,22.186,0.0226836,988,49334
5,insert,19.622,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,169.101,0.032957,974,73557
6,search,2350.69,192.202,188.762,1.59827,101.731,-nan,-nan,0.92009,0.107539,-1.0,-1.0,130.653,0.0330313,976,73557
7,insert,24.303,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,136.573,0.0431297,975,95766
8,search,2482.21,240.917,203.001,1.42565,101.501,-nan,-nan,0.9186,0.108923,-1.0,-1.0,85.887,0.0433072,978,95766
9,insert,3.381,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.798,0.0450273,978,100025
10,search,2381.78,249.211,206.812,1.42462,101.247,-nan,-nan,0.9196,0.106614,-1.0,-1.0,80.907,0.0450497,980,100025
11,insert,8.515,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.308,0.0500298,983,111417
12,search,2454.36,285.67,212.925,1.18862,126.949,-nan,-nan,0.91799,0.108448,-1.0,-1.0,23.612,0.0500294,985,111417
13,insert,28.768,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.276,0.0610503,985,137139
14,search,2464.69,326.778,242.915,1.11263,112.087,-nan,-nan,0.91447,0.110692,-1.0,-1.0,15.99,0.0610625,989,137139
15,insert,14.996,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.747,0.0695942,990,156710
16,search,2489.49,357.432,257.646,1.10803,103.857,-nan,-nan,0.91224,0.110953,-1.0,-1.0,6.546,0.0695942,990,156710
17,insert,4.064,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.162,0.0716893,991,161773
18,search,2429.11,375.625,256.253,1.08406,103.661,-nan,-nan,0.91322,0.110943,-1.0,-1.0,8.383,0.0717064,992,161773
19,insert,30.481,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.719,0.0784282,993,177161
20,search,2448.18,413.973,278.293,1.15302,99.1912,-nan,-nan,0.91811,0.107416,-1.0,-1.0,9.051,0.0784282,994,177161
21,insert,324.191,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,161.699,0.201152,1037,448898
22,search,2693.54,829.028,491.659,1.01798,77.3204,-nan,-nan,0.90318,0.111969,-1.0,-1.0,44.068,0.201151,1044,448898
23,insert,394.341,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293.323,0.328245,1094,733493
24,search,3036.7,1151.67,702.744,0.995295,84.6762,-nan,-nan,0.89874,0.113726,-1.0,-1.0,90.338,0.328429,1112,733493
25,insert,36.072,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.727,0.345909,1118,777443
26,search,2990.88,1120.29,672.05,1.03339,77.8536,-nan,-nan,0.89684,0.115357,-1.0,-1.0,17.728,0.346002,1120,777443
27,insert,28.516,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.763,0.358141,1121,805394
28,search,3046.89,1147.7,695.02,1.04244,71.0955,-nan,-nan,0.89761,0.114545,-1.0,-1.0,9.002,0.358141,1121,805394
29,insert,55.221,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.638,0.385159,1131,866391
30,search,2988.23,1209.87,740.95,1.00112,72.9892,-nan,-nan,0.90032,0.113898,-1.0,-1.0,18.417,0.385159,1133,866391
31,insert,448.111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,332.948,0.554264,1191,1239816
32,search,3353.37,1495.98,923.705,0.991814,75.0187,-nan,-nan,0.89218,0.120469,-1.0,-1.0,69.733,0.554263,1198,1239816
33,insert,46.191,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.169,0.574814,1203,1291211
34,search,3350.85,1498.08,917.448,1.00292,72.914,-nan,-nan,0.89213,0.120177,-1.0,-1.0,56.957,0.574941,1208,1291211
35,insert,29.373,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.295,0.586937,1214,1324978
36,search,3331.52,1521.07,966.584,0.926052,75.8825,-nan,-nan,0.89341,0.11922,-1.0,-1.0,39.033,0.586948,1217,1324978
37,insert,57.408,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.283,0.605487,1220,1371885
