step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,2820.94,37.4413,340.143,3.62873,398.433,-nan,-nan,0.8551,0.130106,-1.0,-1.0,6.414,0.0184881,1000,38806
3,insert,10.982,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.309,0.022655,996,49334
4,search,2945.64,64.8478,374.049,3.25734,508.487,-nan,-nan,0.86686,0.128427,-1.0,-1.0,15.332,0.0226615,993,49334
5,insert,17.938,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,162.509,0.032935,982,73557
6,search,3501.53,185.758,686.185,3.07149,778.034,-nan,-nan,0.92586,0.10314,-1.0,-1.0,126.549,0.0330859,984,73557
7,insert,30.113,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,123.09,0.0427351,986,95766
8,search,3735.66,233.069,813.092,2.83407,881.965,-nan,-nan,0.92464,0.103834,-1.0,-1.0,32.819,0.0433149,992,95766
9,insert,6.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.485,0.0451264,992,100025
10,search,3843.37,236.809,818.361,2.62811,975.12,-nan,-nan,0.92487,0.102107,-1.0,-1.0,19.174,0.0451705,997,100025
11,insert,8.018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.338,0.0496899,999,111417
