step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,3501.12,0.8551,0.130106,-1.0,-1.0,7.247,0.0184881,1000,38806
3,insert,21.437,-1.0,-1.0,-1.0,-1.0,11.994,0.0226489,997,49334
4,search,2653.89,0.86623,0.128786,-1.0,-1.0,10.61,0.0226285,996,49334
5,insert,16.162,-1.0,-1.0,-1.0,-1.0,163.62,0.0332675,987,73557
6,search,2526.55,0.92564,0.103451,-1.0,-1.0,109.996,0.0333764,990,73557
7,insert,23.905,-1.0,-1.0,-1.0,-1.0,107.795,0.043033,992,95766
8,search,2533.96,0.92473,0.103666,-1.0,-1.0,89.323,0.0432141,995,95766
9,insert,4.134,-1.0,-1.0,-1.0,-1.0,78.416,0.0448731,995,100025
10,search,2553.3,0.92668,0.100654,-1.0,-1.0,83.164,0.0448873,997,100025
11,insert,9.317,-1.0,-1.0,-1.0,-1.0,84.32,0.0497899,999,111417
12,search,2556.17,0.92582,0.10188,-1.0,-1.0,82.133,0.0497899,999,111417
13,insert,18.923,-1.0,-1.0,-1.0,-1.0,82.91,0.0609009,1000,137139
14,search,2607.65,0.92274,0.103788,-1.0,-1.0,16.785,0.0611229,1001,137139
15,insert,16.964,-1.0,-1.0,-1.0,-1.0,8.969,0.0699797,1002,156710
16,search,2617.5,0.92112,0.104544,-1.0,-1.0,16.214,0.0699822,1004,156710
17,insert,3.751,-1.0,-1.0,-1.0,-1.0,8.187,0.0719859,1005,161773
18,search,2628.55,0.92122,0.104633,-1.0,-1.0,17.882,0.0722066,1009,161773
19,insert,30.402,-1.0,-1.0,-1.0,-1.0,10.545,0.079079,1011,177161
20,search,2688.58,0.92442,0.101885,-1.0,-1.0,14.093,0.0790826,1014,177161
21,insert,357.587,-1.0,-1.0,-1.0,-1.0,170.596,0.200924,1060,448898
22,search,2967.15,0.91162,0.106615,-1.0,-1.0,51.614,0.201311,1073,448898
23,insert,352.27,-1.0,-1.0,-1.0,-1.0,254.625,0.329156,1128,733493
24,search,3238.16,0.90717,0.10925,-1.0,-1.0,61.716,0.329255,1140,733493
25,insert,36.016,-1.0,-1.0,-1.0,-1.0,20.868,0.346707,1144,777443
26,search,3280.1,0.90784,0.108781,-1.0,-1.0,26.4,0.346754,1148,777443
27,insert,35.986,-1.0,-1.0,-1.0,-1.0,16.827,0.357795,1149,805394
28,search,3339.07,0.90791,0.108498,-1.0,-1.0,18.188,0.358026,1151,805394
29,insert,60.352,-1.0,-1.0,-1.0,-1.0,48.879,0.385613,1160,866391
