step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,2819.48,0.82013,0.14515,27.0527,17.7427,6.012,0.0184873,1024,38806
3,insert,13.18,-1.0,-1.0,-1.0,-1.0,12.711,0.0226399,1020,49334
4,search,2296.29,0.83661,0.14314,25.2135,17.2457,11.828,0.0226509,1017,49334
5,insert,18.38,-1.0,-1.0,-1.0,-1.0,173.097,0.0331879,1008,73557
6,search,2154.01,0.90249,0.119256,18.2191,16.1598,112.693,0.033274,1011,73557
7,insert,26.243,-1.0,-1.0,-1.0,-1.0,116.238,0.0430081,1011,95766
8,search,2172.58,0.89956,0.120187,18.1714,15.5465,84.763,0.0431558,1016,95766
9,insert,4.183,-1.0,-1.0,-1.0,-1.0,72.427,0.0448967,1016,100025
10,search,2162.64,0.89898,0.11857,18.1642,15.222,80.648,0.0448992,1018,100025
11,insert,17.777,-1.0,-1.0,-1.0,-1.0,78.882,0.0497682,1020,111417
12,search,2135.12,0.89918,0.118288,18.097,15.0779,75.841,0.0497682,1020,111417
13,insert,22.916,-1.0,-1.0,-1.0,-1.0,78.721,0.0609858,1022,137139
14,search,2158.7,0.89359,0.122992,18.2578,14.9262,17.882,0.0613763,1024,137139
15,insert,17.269,-1.0,-1.0,-1.0,-1.0,9.732,0.0695815,1026,156710
16,search,2231.91,0.88962,0.124808,18.4363,14.666,14.858,0.0695844,1028,156710
17,insert,4.479,-1.0,-1.0,-1.0,-1.0,13.183,0.0718655,1033,161773
18,search,2233.91,0.88844,0.125566,18.4228,14.6267,17.441,0.0721103,1037,161773
19,insert,40.501,-1.0,-1.0,-1.0,-1.0,12.538,0.0790973,1041,177161
20,search,2242.42,0.89172,0.12179,18.3386,14.5539,12.475,0.0791022,1044,177161
21,insert,358.483,-1.0,-1.0,-1.0,-1.0,206.46,0.202279,1110,448898
22,search,2510.4,0.87696,0.127124,20.5626,15.6941,61.57,0.202339,1128,448898
23,insert,377.899,-1.0,-1.0,-1.0,-1.0,268.954,0.329047,1197,733493
24,search,2712.51,0.871,0.129739,21.4788,16.392,127.525,0.330218,1234,733493
25,insert,54.435,-1.0,-1.0,-1.0,-1.0,22.158,0.34713,1239,777443
26,search,2814.86,0.8675,0.132112,21.9584,16.6427,21.56,0.347176,1244,777443
27,insert,33.089,-1.0,-1.0,-1.0,-1.0,26.448,0.358537,1249,805394
28,search,2856.33,0.86719,0.132299,21.9418,16.629,7.825,0.358623,1251,805394
29,insert,31.837,-1.0,-1.0,-1.0,-1.0,43.19,0.38611,1271,866391
30,search,2888.24,0.87082,0.130932,21.634,16.5702,20.502,0.386117,1276,866391
31,insert,470.18,-1.0,-1.0,-1.0,-1.0,221.934,0.553713,1361,1239816
32,search,3008.12,0.86487,0.136168,22.4565,17.1789,50.395,0.553906,1374,1239816
33,insert,51.52,-1.0,-1.0,-1.0,-1.0,28.172,0.57357,1380,1291211
34,search,3130.07,0.86611,0.134976,22.4059,17.2331,8.166,0.573626,1381,1291211
35,insert,23.043,-1.0,-1.0,-1.0,-1.0,23.585,0.585766,1391,1324978
36,search,3275.37,0.86711,0.133861,22.3074,17.1842,10.215,0.585766,1391,1324978
37,insert,58.822,-1.0,-1.0,-1.0,-1.0,34.93,0.605394,1399,1371885
38,search,3265.79,0.86746,0.133755,22.418,17.4658,22.055,0.605443,1402,1371885
39,insert,10.044,-1.0,-1.0,-1.0,-1.0,11.865,0.608672,1403,1379335
40,search,3193.58,0.86832,0.133531,22.4442,17.5762,9.879,0.608672,1403,1379335
41,insert,28.917,-1.0,-1.0,-1.0,-1.0,14.688,0.623574,1407,1413312
42,search,3092.64,0.86917,0.133389,22.3312,17.6052,9.675,0.623574,1407,1413312
43,insert,12.135,-1.0,-1.0,-1.0,-1.0,13.73,0.62731,1409,1423411
44,search,3023.98,0.86981,0.132778,22.3791,17.6557,6.64,0.62731,1409,1423411
45,insert,150.707,-1.0,-1.0,-1.0,-1.0,26.163,0.641533,1420,1457559
46,search,3326.98,0.87022,0.132487,22.3876,17.7134,9.838,0.641533,1420,1457559
47,insert,223.585,-1.0,-1.0,-1.0,-1.0,164.715,0.746675,1465,1688593
48,search,3386.7,0.87338,0.13363,22.0334,17.8572,94.833,0.746992,1479,1688593
49,insert,44.358,-1.0,-1.0,-1.0,-1.0,27.304,0.761896,1484,1723505
50,search,3555.84,0.87546,0.132107,21.943,17.8973,38.566,0.76199,1489,1723505
51,insert,367.719,-1.0,-1.0,-1.0,-1.0,215.888,0.903029,1553,2035040
52,search,3701.77,0.88182,0.129171,21.4981,18.166,30.076,0.903121,1563,2035040
53,insert,30.203,-1.0,-1.0,-1.0,-1.0,21.571,0.920373,1568,2078341
54,search,3777.61,0.88236,0.12875,21.4871,18.1465,7.054,0.920373,1568,2078341
55,insert,212.543,-1.0,-1.0,-1.0,-1.0,284.102,1.06805,1642,2399905
56,search,3917.53,0.88589,0.128152,21.1166,18.2308,164.743,1.06906,1676,2399905
57,insert,25.215,-1.0,-1.0,-1.0,-1.0,15.761,1.07702,1677,2419836
58,search,4202.76,0.88436,0.129192,21.3257,18.3327,46.309,1.07702,1681,2419836
59,insert,228.33,-1.0,-1.0,-1.0,-1.0,139.254,1.17595,1696,2643083
60,search,4257.76,0.87855,0.135346,22.4206,19.4819,50.639,1.17611,1702,2643083
61,insert,11.488,-1.0,-1.0,-1.0,-1.0,19.971,1.17992,1704,2653064
62,search,4274.71,0.87821,0.135799,22.4815,19.562,21.268,1.18006,1706,2653064
63,insert,4.243,-1.0,-1.0,-1.0,-1.0,12.258,1.18158,1706,2656118
