step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,2474.44,0.78814,0.157167,27.1243,17.7481,5.575,0.0184881,1024,38806
3,insert,14.943,-1.0,-1.0,-1.0,-1.0,11.622,0.0226305,1020,49334
4,search,1936.45,0.80572,0.156545,25.2691,17.2559,24.277,0.0226346,1017,49334
5,insert,40.838,-1.0,-1.0,-1.0,-1.0,155.556,0.0332047,1008,73557
6,search,1840.04,0.88145,0.133136,18.3181,16.1764,108.067,0.0333193,1011,73557
7,insert,26.377,-1.0,-1.0,-1.0,-1.0,97.27,0.0429624,1011,95766
8,search,1852.77,0.87507,0.134743,18.3914,15.6164,78.654,0.043044,1013,95766
9,insert,8.297,-1.0,-1.0,-1.0,-1.0,68.645,0.0449143,1013,100025
10,search,1852.78,0.87503,0.133335,18.2295,15.3042,71.031,0.0449171,1014,100025
11,insert,10.258,-1.0,-1.0,-1.0,-1.0,74.512,0.0496414,1016,111417
12,search,1770.43,0.8755,0.13347,18.0777,15.1491,73.301,0.0496671,1017,111417
13,insert,23.314,-1.0,-1.0,-1.0,-1.0,73.03,0.0608246,1018,137139
14,search,1847.34,0.87032,0.137551,18.2122,14.9817,13.688,0.0611184,1019,137139
15,insert,17.826,-1.0,-1.0,-1.0,-1.0,9.192,0.0696652,1021,156710
16,search,1902.5,0.86659,0.138558,18.302,14.6745,18.616,0.0696684,1023,156710
17,insert,7.79,-1.0,-1.0,-1.0,-1.0,8.297,0.0717321,1025,161773
18,search,1917.43,0.86518,0.138967,18.2843,14.6284,14.618,0.0719741,1029,161773
19,insert,33.733,-1.0,-1.0,-1.0,-1.0,8.601,0.0790512,1031,177161
20,search,1897.46,0.86927,0.134747,18.1524,14.4929,7.507,0.079052,1032,177161
21,insert,356.684,-1.0,-1.0,-1.0,-1.0,169.807,0.200689,1081,448898
22,search,2122.75,0.85509,0.139029,19.9947,15.3547,50.861,0.200685,1095,448898
23,insert,393.898,-1.0,-1.0,-1.0,-1.0,250.916,0.327744,1152,733493
24,search,2275.95,0.84922,0.140953,20.8617,15.957,96.691,0.328842,1182,733493
25,insert,47.875,-1.0,-1.0,-1.0,-1.0,25.103,0.345984,1188,777443
26,search,2371.65,0.84568,0.143666,21.2454,16.1756,16.276,0.345987,1191,777443
27,insert,29.855,-1.0,-1.0,-1.0,-1.0,22.008,0.358023,1195,805394
28,search,2384.53,0.84718,0.14228,21.217,16.1749,14.681,0.358152,1198,805394
29,insert,57.885,-1.0,-1.0,-1.0,-1.0,49.159,0.386003,1211,866391
30,search,2435.04,0.85166,0.141473,20.8367,16.1121,22.93,0.386032,1216,866391
31,insert,524.088,-1.0,-1.0,-1.0,-1.0,323.368,0.553558,1287,1239816
32,search,2672.22,0.84472,0.146027,21.7483,16.8256,34.923,0.553557,1294,1239816
33,insert,52.224,-1.0,-1.0,-1.0,-1.0,32.113,0.573287,1303,1291211
34,search,2711.1,0.84689,0.144118,21.8038,16.9059,7.72,0.573287,1303,1291211
35,insert,32.721,-1.0,-1.0,-1.0,-1.0,21.36,0.585495,1308,1324978
36,search,2671.48,0.84891,0.142213,21.6701,16.8286,7.382,0.585495,1308,1324978
37,insert,49.162,-1.0,-1.0,-1.0,-1.0,33.544,0.606042,1314,1371885
38,search,2749.11,0.85002,0.141407,21.8092,17.1229,20.051,0.606086,1317,1371885
39,insert,16.78,-1.0,-1.0,-1.0,-1.0,12.528,0.609949,1318,1379335
40,search,2762.19,0.84972,0.141774,21.8719,17.1904,10.901,0.60995,1319,1379335
41,insert,51.874,-1.0,-1.0,-1.0,-1.0,18.261,0.623571,1322,1413312
42,search,2729.04,0.85201,0.14091,21.8075,17.2453,11.334,0.623689,1323,1413312
43,insert,12.207,-1.0,-1.0,-1.0,-1.0,13.67,0.627857,1326,1423411
44,search,2781.39,0.85154,0.140795,21.8802,17.2859,7.572,0.627857,1326,1423411
45,insert,225.454,-1.0,-1.0,-1.0,-1.0,20.159,0.642389,1331,1457559
46,search,2748.25,0.8539,0.13963,21.7753,17.307,9.709,0.642389,1331,1457559
47,insert,294.348,-1.0,-1.0,-1.0,-1.0,280.479,0.748614,1378,1688593
48,search,2848.64,0.85676,0.141666,21.3603,17.3262,82.146,0.748714,1389,1688593
49,insert,37.629,-1.0,-1.0,-1.0,-1.0,32.657,0.761819,1396,1723505
50,search,2819.92,0.85785,0.141257,21.3848,17.4382,25.806,0.761833,1398,1723505
51,insert,419.726,-1.0,-1.0,-1.0,-1.0,300.188,0.903659,1457,2035040
52,search,3160.86,0.86258,0.139367,21.1566,17.7708,51.847,0.903666,1465,2035040
53,insert,57.602,-1.0,-1.0,-1.0,-1.0,26.42,0.920326,1468,2078341
54,search,3203.74,0.86312,0.138866,21.1651,17.7897,17.336,0.920539,1469,2078341
55,insert,398.497,-1.0,-1.0,-1.0,-1.0,409.142,1.06886,1529,2399905
56,search,3307.74,0.86598,0.138903,20.8097,17.9137,106.556,1.06975,1550,2399905
57,insert,24.266,-1.0,-1.0,-1.0,-1.0,30.39,1.07846,1555,2419836
58,search,3378.47,0.86491,0.139268,21.0153,18.057,32.327,1.07847,1557,2419836
59,insert,245.099,-1.0,-1.0,-1.0,-1.0,151.647,1.17751,1578,2643083
60,search,3483.57,0.85878,0.145052,22.3401,19.5367,56.963,1.17805,1587,2643083
61,insert,14.836,-1.0,-1.0,-1.0,-1.0,15.744,1.18214,1589,2653064
62,search,3523.8,0.85835,0.145686,22.4059,19.6398,16.362,1.18214,1590,2653064
63,insert,5.228,-1.0,-1.0,-1.0,-1.0,8.636,1.18347,1590,2656118
64,search,3542.63,0.85918,0.145274,22.3934,19.6431,17.117,1.18356,1592,2656118
65,insert,98.241,-1.0,-1.0,-1.0,-1.0,68.465,1.20998,1608,2723424
66,search,3608.58,0.8598,0.14485,22.3636,19.6494,13.138,1.20998,1609,2723424
67,insert,53.68,-1.0,-1.0,-1.0,-1.0,69.099,1.22946,1624,2769021
68,search,3625.45,0.86142,0.143871,22.2031,19.5608,13.308,1.22946,1625,2769021
69,insert,57.788,-1.0,-1.0,-1.0,-1.0,69.951,1.25255,1637,2821777
70,search,3650.21,0.86296,0.143051,21.9621,19.4246,15.579,1.25273,1638,2821777
71,insert,17.468,-1.0,-1.0,-1.0,-1.0,17.826,1.25823,1640,2834921
72,search,3687.49,0.86411,0.142111,21.8769,19.3657,10.379,1.25823,1640,2834921
73,insert,9.043,-1.0,-1.0,-1.0,-1.0,9.037,1.26175,1640,2842044
74,search,3622.89,0.86421,0.142082,21.8687,19.36,10.593,1.26175,1640,2842044
75,insert,25.854,-1.0,-1.0,-1.0,-1.0,26.221,1.26836,1643,2858890
76,search,3673.33,0.86424,0.141994,21.7892,19.3139,10.378,1.26836,1643,2858890
77,insert,36.67,-1.0,-1.0,-1.0,-1.0,16.391,1.27777,1644,2882818
78,search,3515.92,0.86404,0.141792,21.8563,19.3335,10.448,1.27777,1644,2882818
79,insert,516.736,-1.0,-1.0,-1.0,-1.0,32.008,1.30594,1648,2947806
80,search,3644.34,0.86364,0.142101,21.945,19.4665,10.085,1.30594,1648,2947806
81,insert,41.13,-1.0,-1.0,-1.0,-1.0,32.416,1.31784,1652,2976895
82,search,3618.55,0.86536,0.141395,21.7271,19.3549,23.194,1.31822,1655,2976895
83,insert,16.364,-1.0,-1.0,-1.0,-1.0,26.413,1.32418,1658,2990682
84,search,3585.86,0.86536,0.141607,21.7303,19.3555,9.955,1.32418,1658,2990682
85,insert,40.194,-1.0,-1.0,-1.0,-1.0,15.823,1.33888,1659,3025613
86,search,3749.05,0.86622,0.141088,21.5963,19.3407,11.276,1.33888,1659,3025613
87,insert,667.543,-1.0,-1.0,-1.0,-1.0,702.849,1.54517,1771,3468632
88,search,4125.22,0.87163,0.137083,21.0748,19.0563,116.053,1.54609,1788,3468632
89,insert,434.835,-1.0,-1.0,-1.0,-1.0,559.573,1.70351,1881,3831692
90,search,4379.66,0.87643,0.133152,20.5457,18.6692,60.419,1.70362,1889,3831692
91,insert,41.588,-1.0,-1.0,-1.0,-1.0,32.255,1.71402,1891,3864067
92,search,4446.58,0.87675,0.132666,20.5604,18.6668,22.044,1.71419,1893,3864067
93,insert,269.092,-1.0,-1.0,-1.0,-1.0,274.718,1.81794,1934,4103827
94,search,4567.02,0.87736,0.133347,20.505,18.6745,73.326,1.81856,1944,4103827
95,insert,19.518,-1.0,-1.0,-1.0,-1.0,25.466,1.82449,1946,4119898
96,search,4592.71,0.87754,0.133017,20.4252,18.6205,20.469,1.82449,1946,4119898
97,insert,12.393,-1.0,-1.0,-1.0,-1.0,32.21,1.8272,1948,4129367
98,search,4438.91,0.87748,0.132938,20.4399,18.6349,19.884,1.8272,1948,4129367
99,insert,6.19,-1.0,-1.0,-1.0,-1.0,18.924,1.8287,1948,4134502
100,search,4572.13,0.87752,0.132966,20.4259,18.6289,19.844,1.8287,1948,4134502
101,insert,42.201,-1.0,-1.0,-1.0,-1.0,74.621,1.84239,1958,4164482
102,search,4624.09,0.87805,0.132783,20.3931,18.6031,27.773,1.84243,1959,4164482
103,insert,17.344,-1.0,-1.0,-1.0,-1.0,25.205,1.84798,1960,4178601
104,search,4629.28,0.87887,0.132246,20.3717,18.6031,37.265,1.84839,1963,4178601
105,insert,14.028,-1.0,-1.0,-1.0,-1.0,19.603,1.8523,1963,4187774
106,search,4625.17,0.8788,0.132205,20.364,18.5929,26.858,1.85234,1964,4187774
107,insert,24.552,-1.0,-1.0,-1.0,-1.0,26.947,1.85767,1965,4200109
108,search,4626.83,0.87878,0.132318,20.3727,18.6062,21.665,1.85767,1965,4200109
109,insert,588.079,-1.0,-1.0,-1.0,-1.0,448.028,2.01751,2040,4557867
110,search,4929.65,0.88226,0.129651,20.0292,18.5651,62.383,2.01827,2046,4557867
111,insert,41.996,-1.0,-1.0,-1.0,-1.0,52.224,2.03033,2053,4587252
112,search,4932.13,0.88255,0.129516,19.9377,18.5272,23.869,2.03033,2053,4587252
113,insert,17.388,-1.0,-1.0,-1.0,-1.0,22.481,2.03487,2053,4600056
114,search,4923.82,0.88282,0.129248,19.8918,18.5044,23.383,2.03487,2053,4600056
115,insert,40.076,-1.0,-1.0,-1.0,-1.0,51.11,2.0448,2058,4627422
116,search,4912.78,0.88314,0.129103,19.8187,18.4959,23.431,2.0448,2058,4627422
117,insert,19.72,-1.0,-1.0,-1.0,-1.0,22.324,2.05058,2058,4639292
118,search,4925.89,0.8832,0.128945,19.8098,18.4701,24.69,2.05058,2058,4639292
119,insert,7.489,-1.0,-1.0,-1.0,-1.0,22.544,2.05277,2058,4643423
120,search,4936.77,0.88329,0.128863,19.8028,18.4657,24.165,2.05277,2058,4643423
121,insert,20.916,-1.0,-1.0,-1.0,-1.0,34.72,2.05829,2060,4657252
122,search,4981.14,0.88396,0.128376,19.7944,18.4832,28.731,2.05834,2061,4657252
123,insert,440.351,-1.0,-1.0,-1.0,-1.0,393.619,2.18802,2110,4938477
124,search,5154.4,0.88517,0.128615,19.5603,18.3541,138.387,2.1892,2126,4938477
125,insert,62.888,-1.0,-1.0,-1.0,-1.0,98.223,2.20625,2137,4980492
126,search,5165.66,0.88528,0.128865,19.4884,18.3759,42.501,2.20626,2139,4980492
127,insert,74.395,-1.0,-1.0,-1.0,-1.0,95.393,2.22756,2154,5030515
128,search,5190.51,0.88593,0.128553,19.4324,18.3591,41.906,2.22788,2156,5030515
129,delete,17.913,-1.0,-1.0,-1.0,-1.0,25.557,2.22739,2156,5009391
130,search,5178.89,0.88585,0.128609,19.43,18.3786,26.26,2.22739,2156,5009391
131,delete,4.61,-1.0,-1.0,-1.0,-1.0,26.161,2.22739,2156,5004093
132,search,5161.23,0.88598,0.128629,19.4055,18.3651,27.925,2.22739,2156,5004093
133,delete,12.353,-1.0,-1.0,-1.0,-1.0,25.46,2.22723,2156,4991787
134,search,4934.01,0.88589,0.128658,19.4177,18.3638,27.523,2.22723,2156,4991787
135,delete,18.448,-1.0,-1.0,-1.0,-1.0,25.642,2.22623,2156,4974857
136,search,4962.35,0.88602,0.12844,19.4134,18.3911,27.346,2.22623,2156,4974857
137,delete,4.441,-1.0,-1.0,-1.0,-1.0,25.743,2.22623,2156,4971386
138,search,4918.04,0.88587,0.128664,19.4149,18.3973,27.667,2.22623,2156,4971386
139,delete,9.117,-1.0,-1.0,-1.0,-1.0,25.365,2.22623,2156,4963487
140,search,4822.54,0.88574,0.128627,19.4484,18.4051,27.066,2.22623,2156,4963487
141,delete,20.855,-1.0,-1.0,-1.0,-1.0,25.411,2.22477,2156,4941830
142,search,5159.78,0.8858,0.128558,19.4561,18.4336,26.745,2.22477,2156,4941830
143,delete,18.68,-1.0,-1.0,-1.0,-1.0,25.542,2.22286,2156,4925657
144,search,5141.05,0.88574,0.12858,19.4585,18.4319,27.7,2.22286,2156,4925657
145,delete,2.57,-1.0,-1.0,-1.0,-1.0,25.388,2.22258,2156,4922686
146,search,5150.9,0.88559,0.12859,19.4607,18.4243,27.894,2.22258,2156,4922686
147,delete,11.208,-1.0,-1.0,-1.0,-1.0,25.241,2.22237,2156,4913636
148,search,5156.6,0.88575,0.128589,19.4718,18.4394,27.872,2.22237,2156,4913636
149,delete,226.035,-1.0,-1.0,-1.0,-1.0,26.204,2.19594,2156,4717250
150,search,4828.65,0.88448,0.129753,19.5149,18.5196,28.129,2.19594,2156,4717250
151,delete,190.593,-1.0,-1.0,-1.0,-1.0,26.209,2.15983,2156,4560269
152,search,4760.54,0.88354,0.130214,19.6133,18.5502,28.061,2.15983,2156,4560269
153,delete,40.378,-1.0,-1.0,-1.0,-1.0,25.797,2.14888,2156,4521936
154,search,4701.02,0.88231,0.131004,19.7578,18.628,27.56,2.14888,2156,4521936
155,delete,21.538,-1.0,-1.0,-1.0,-1.0,25.562,2.1453,2156,4502222
156,search,4623.31,0.88226,0.131292,19.789,18.6663,27.56,2.1453,2156,4502222
157,delete,44.056,-1.0,-1.0,-1.0,-1.0,25.672,2.13806,2156,4456039
158,search,4622.15,0.88186,0.131449,19.8555,18.7279,27.541,2.13806,2156,4456039
159,delete,306.839,-1.0,-1.0,-1.0,-1.0,24.69,2.0221,2156,4143922
