step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
2,search,585.299,0.30402,0.225896,0.511,0.0183457
3,insert,10.04,-1.0,-1.0,0.0,0.0223845
4,search,415.75,0.30883,0.227605,0.559,0.0223845
5,insert,14.88,-1.0,-1.0,0.0,0.032811
6,search,402.922,0.33185,0.257537,55.708,0.0331737
7,insert,22.003,-1.0,-1.0,0.0,0.0421803
8,search,540.134,0.45891,0.279876,120.639,0.0421925
9,insert,3.849,-1.0,-1.0,0.0,0.0445059
10,search,471.401,0.48103,0.267652,100.67,0.0442721
11,insert,7.19,-1.0,-1.0,0.0,0.0493354
12,search,482.474,0.46609,0.261136,109.657,0.049213
13,insert,19.952,-1.0,-1.0,0.0,0.0602477
14,search,424.731,0.42959,0.256302,85.101,0.0596525
15,insert,17.45,-1.0,-1.0,0.0,0.0691225
16,search,535.665,0.42391,0.248077,118.329,0.0688002
17,insert,3.757,-1.0,-1.0,0.0,0.0712164
18,search,557.768,0.42416,0.250314,146.088,0.0713127
19,insert,55.46,-1.0,-1.0,0.0,0.0778346
20,search,508.566,0.46841,0.253801,154.774,0.0778554
21,insert,344.779,-1.0,-1.0,0.0,0.197099
22,search,632.27,0.45878,0.247826,615.33,0.1968
23,insert,257.694,-1.0,-1.0,0.0,0.315962
24,search,787.558,0.44987,0.248761,1127.29,0.320233
25,insert,29.082,-1.0,-1.0,0.0,0.339114
26,search,740.793,0.4214,0.246488,656.74,0.33744
27,insert,22.399,-1.0,-1.0,0.0,0.351942
28,search,630.734,0.40953,0.248731,559.74,0.352849
29,insert,34.986,-1.0,-1.0,0.0,0.37803
30,search,632.673,0.41583,0.25098,631.984,0.37854
31,insert,211.411,-1.0,-1.0,0.0,0.542229
32,search,870.634,0.42194,0.250413,2233.28,0.543381
33,insert,42.188,-1.0,-1.0,0.0,0.563387
34,search,672.622,0.4093,0.250446,963.042,0.563182
35,insert,26.475,-1.0,-1.0,0.0,0.579811
36,search,735.102,0.40922,0.250803,911.636,0.578841
37,insert,41.002,-1.0,-1.0,0.0,0.6011
38,search,706.686,0.41145,0.251707,0.82,0.6011
39,insert,5.553,-1.0,-1.0,0.0,0.603488
40,search,772.152,0.41287,0.252508,846.74,0.602592
41,insert,33.772,-1.0,-1.0,0.0,0.616597
42,search,710.203,0.41421,0.252721,711.144,0.615995
43,insert,8.314,-1.0,-1.0,0.0,0.621732
44,search,720.162,0.44295,0.251208,1436.69,0.62276
45,insert,221.623,-1.0,-1.0,0.0,0.637596
46,search,801.289,0.4398,0.251661,697.218,0.638071
47,insert,193.781,-1.0,-1.0,0.0,0.739662
