step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
2,search,2478.36,0.79265,0.157278,1.573,0.0183461
3,insert,12.534,-1.0,-1.0,0.0,0.0223849
4,search,1841.16,0.80591,0.154693,1.644,0.0223849
5,insert,24.405,-1.0,-1.0,0.0,0.0328114
6,search,1853.36,0.86827,0.143601,64.501,0.0328114
7,insert,50.438,-1.0,-1.0,0.0,0.042328
8,search,1854.38,0.85514,0.150788,62.558,0.0427421
9,insert,3.552,-1.0,-1.0,0.0,0.0441925
10,search,1872.83,0.86976,0.14109,201.125,0.0445361
11,insert,11.731,-1.0,-1.0,0.0,0.0496132
12,search,1892.94,0.87701,0.136764,128.288,0.0493651
13,insert,27.074,-1.0,-1.0,0.0,0.060446
14,search,1918.72,0.87481,0.138646,122.849,0.0600482
15,insert,23.592,-1.0,-1.0,0.0,0.0693449
16,search,1946.37,0.87969,0.134277,116.483,0.0690895
17,insert,4.149,-1.0,-1.0,0.0,0.0711776
18,search,1948.86,0.88182,0.134675,150.359,0.0710969
19,insert,43.253,-1.0,-1.0,0.0,0.0780043
20,search,2025.2,0.89383,0.125522,164.391,0.0779207
21,insert,481.439,-1.0,-1.0,0.0,0.195993
22,search,2391.5,0.90447,0.114981,532.143,0.197184
23,insert,362.683,-1.0,-1.0,0.0,0.322902
24,search,3057.96,0.90553,0.115544,1048.4,0.321499
25,insert,49.14,-1.0,-1.0,0.0,0.341429
26,search,2978.97,0.88326,0.128743,864.672,0.33958
27,insert,32.645,-1.0,-1.0,0.0,0.352045
28,search,2828.43,0.85572,0.143934,581.507,0.353742
29,insert,73.045,-1.0,-1.0,0.0,0.380439
30,search,2932.48,0.85548,0.145531,431.951,0.381391
31,insert,409.685,-1.0,-1.0,0.0,0.542076
32,search,3635.2,0.86522,0.142505,2156.88,0.542371
33,insert,86.042,-1.0,-1.0,0.0,0.564849
34,search,3380.54,0.84203,0.156818,1340.2,0.566884
35,insert,51.7,-1.0,-1.0,0.0,0.582861
36,search,3444.97,0.84006,0.158726,505.095,0.582021
37,insert,59.788,-1.0,-1.0,0.0,0.603509
38,search,3483.23,0.83988,0.159201,487.089,0.604192
39,insert,7.6,-1.0,-1.0,0.0,0.606748
40,search,3362.4,0.84252,0.156966,536.257,0.605784
41,insert,48.764,-1.0,-1.0,0.0,0.620256
42,search,3466.98,0.84319,0.156288,521.115,0.621045
43,insert,10.116,-1.0,-1.0,0.0,0.624561
44,search,3396.18,0.84228,0.156299,496.466,0.624738
45,insert,301.695,-1.0,-1.0,0.0,0.638764
46,search,3493.55,0.84579,0.154272,883.896,0.638924
47,insert,339.656,-1.0,-1.0,0.0,0.740057
48,search,3800.23,0.85236,0.152054,1720.09,0.739191
49,insert,77.807,-1.0,-1.0,0.0,0.75536
50,search,3697.67,0.84931,0.154299,1145.76,0.755521
51,insert,374.126,-1.0,-1.0,0.0,0.890766
52,search,4064.79,0.86407,0.143891,2663.65,0.890432
53,insert,55.108,-1.0,-1.0,0.0,0.909918
54,search,4124.36,0.85025,0.151859,1558.59,0.91115
55,insert,361.036,-1.0,-1.0,0.0,1.05393
56,search,4586.64,0.86635,0.144103,2958.37,1.05086
57,insert,32.196,-1.0,-1.0,0.0,1.05961
58,search,4354.18,0.86148,0.146311,1520.23,1.06001
59,insert,285.429,-1.0,-1.0,0.0,1.15585
60,search,4560.34,0.86215,0.145231,1891.05,1.15471
61,insert,23.193,-1.0,-1.0,0.0,1.15945
62,search,4489.36,0.85717,0.149653,1009.45,1.15956
63,insert,3.645,-1.0,-1.0,0.0,1.16042
64,search,4490.85,0.85732,0.149697,8.561,1.16042
65,insert,147.489,-1.0,-1.0,0.0,1.19046
66,search,4514.34,0.8605,0.148254,2089.42,1.18982
67,insert,64.344,-1.0,-1.0,0.0,1.21097
68,search,4585.89,0.86106,0.148292,1361.3,1.21082
69,insert,77.203,-1.0,-1.0,0.0,1.23493
70,search,4453.36,0.86193,0.147393,1136.63,1.23453
71,insert,20.693,-1.0,-1.0,0.0,1.24011
72,search,4665.79,0.86302,0.146872,1073.98,1.23994
73,insert,8.357,-1.0,-1.0,0.0,1.24274
74,search,4398.68,0.86269,0.147179,8.77,1.24274
75,insert,27.044,-1.0,-1.0,0.0,1.24926
76,search,4625.14,0.8631,0.146792,9.465,1.24926
77,insert,85.246,-1.0,-1.0,0.0,1.26026
78,search,4679.16,0.86282,0.1471,1148.24,1.26015
79,insert,728.392,-1.0,-1.0,0.0,1.28933
80,search,4729.39,0.86233,0.147337,1329.57,1.28987
81,insert,52.829,-1.0,-1.0,0.0,1.30123
82,search,4649.69,0.86303,0.146853,9.057,1.30123
83,insert,26.88,-1.0,-1.0,0.0,1.30624
84,search,4537.01,0.86282,0.147059,1141.43,1.30697
85,insert,68.899,-1.0,-1.0,0.0,1.3248
86,search,4767.23,0.86486,0.146225,1235.05,1.3253
87,insert,792.027,-1.0,-1.0,0.0,1.51798
88,search,5050.8,0.87695,0.134579,5408.71,1.51853
89,insert,474.304,-1.0,-1.0,0.0,1.67437
90,search,5735.9,0.87769,0.133345,6802.8,1.67697
91,insert,49.091,-1.0,-1.0,0.0,1.69194
92,search,5622.94,0.87292,0.137766,2119.28,1.69232
93,insert,417.36,-1.0,-1.0,0.0,1.79528
94,search,5541.67,0.87452,0.136528,2110.43,1.79606
95,insert,20.649,-1.0,-1.0,0.0,1.80208
96,search,5561.98,0.87461,0.136577,1563.52,1.80175
97,insert,17.552,-1.0,-1.0,0.0,1.80725
98,search,5513.68,0.87443,0.136729,5.09,1.80725
99,insert,13.31,-1.0,-1.0,0.0,1.80993
100,search,5719.86,0.87457,0.136614,4.988,1.80993
101,insert,58.03,-1.0,-1.0,0.0,1.82143
102,search,5569.1,0.87553,0.135739,1752.98,1.82252
103,insert,26.114,-1.0,-1.0,0.0,1.82831
104,search,5701.71,0.87576,0.135659,5.021,1.82831
105,insert,14.803,-1.0,-1.0,0.0,1.83187
106,search,5566.32,0.87537,0.135924,5.158,1.83187
107,insert,30.411,-1.0,-1.0,0.0,1.83832
108,search,5755.71,0.87544,0.135823,1577.6,1.8375
109,insert,807.522,-1.0,-1.0,0.0,1.99301
110,search,6002.68,0.87866,0.133779,4739.76,1.99591
111,insert,41.069,-1.0,-1.0,0.0,2.01051
112,search,5854.25,0.8776,0.134592,2301.17,2.00976
113,insert,13.825,-1.0,-1.0,0.0,2.01363
114,search,5880.59,0.87749,0.134656,1768.14,2.01361
115,insert,43.545,-1.0,-1.0,0.0,2.0251
116,search,5817.8,0.87814,0.134078,1978.89,2.02517
117,insert,20.328,-1.0,-1.0,0.0,2.03094
118,search,5801.19,0.87785,0.133866,5.54,2.03094
119,insert,4.48,-1.0,-1.0,0.0,2.0321
120,search,6083.57,0.87794,0.133861,5.483,2.0321
121,insert,48.315,-1.0,-1.0,0.0,2.03746
122,search,5840.58,0.87813,0.133744,1892.19,2.03721
123,insert,602.549,-1.0,-1.0,0.0,2.16106
124,search,6128.66,0.88084,0.132932,3866.97,2.15906
125,insert,85.81,-1.0,-1.0,0.0,2.17875
126,search,6286.2,0.8804,0.133098,2672.51,2.18027
127,insert,82.464,-1.0,-1.0,0.0,2.20135
128,search,6192.76,0.88153,0.132764,2885,2.20137
129,delete,15.611,-1.0,-1.0,0.0,2.20052
130,search,6082.36,0.88058,0.133406,1980.45,2.20037
131,delete,2.824,-1.0,-1.0,0.0,2.20037
132,search,6188.3,0.88083,0.133338,5.665,2.20037
133,delete,10.391,-1.0,-1.0,0.0,2.19995
134,search,6146.93,0.88096,0.133275,6.29,2.19995
135,delete,32.089,-1.0,-1.0,0.0,2.19862
136,search,6034,0.88397,0.129876,5.809,2.19862
137,delete,4.787,-1.0,-1.0,0.0,2.19862
138,search,6193.91,0.88394,0.129951,5.846,2.19862
139,delete,13.456,-1.0,-1.0,0.0,2.19704
140,search,5950.32,0.88361,0.130279,5.99,2.19704
141,delete,25.381,-1.0,-1.0,0.0,2.19455
142,search,6104.23,0.88446,0.12972,6.044,2.19455
143,delete,21.115,-1.0,-1.0,0.0,2.19209
144,search,5985.06,0.88467,0.129552,5.787,2.19209
145,delete,3.305,-1.0,-1.0,0.0,2.19153
146,search,5989.38,0.88427,0.129744,5.899,2.19153
147,delete,13.181,-1.0,-1.0,0.0,2.19074
148,search,5939.73,0.88441,0.129778,5.671,2.19074
149,delete,211.311,-1.0,-1.0,0.0,2.15126
150,search,5920.76,0.88901,0.126316,5.763,2.15126
151,delete,185.58,-1.0,-1.0,0.0,2.11187
152,search,5809.26,0.88897,0.126617,5.806,2.11187
153,delete,42.572,-1.0,-1.0,0.0,2.09711
154,search,5815.99,0.8886,0.127082,5.762,2.09711
155,delete,20.702,-1.0,-1.0,0.0,2.09221
156,search,5907.66,0.88857,0.127081,5.719,2.09221
157,delete,48.034,-1.0,-1.0,0.0,2.08237
158,search,5773.87,0.88769,0.127709,5.777,2.08237
159,delete,321.389,-1.0,-1.0,0.0,1.96167
160,search,5692.61,0.88667,0.128574,6.021,1.96167
161,delete,46.095,-1.0,-1.0,0.0,1.95016
162,search,5480.32,0.88681,0.128456,6.476,1.95016
163,delete,43.223,-1.0,-1.0,0.0,1.94007
164,search,5219.5,0.88618,0.128767,6.186,1.94007
165,delete,47.051,-1.0,-1.0,0.0,1.92987
166,search,5596.24,0.88636,0.128854,6.074,1.92987
167,delete,11.975,-1.0,-1.0,0.0,1.92722
168,search,5434.19,0.88573,0.129239,5.963,1.92722
169,delete,28.41,-1.0,-1.0,0.0,1.91789
170,search,5377.57,0.88545,0.129615,5.874,1.91789
171,delete,16.186,-1.0,-1.0,0.0,1.91382
172,search,5590.21,0.88514,0.129925,5.838,1.91382
173,delete,51.633,-1.0,-1.0,0.0,1.90235
174,search,5403.09,0.88394,0.13065,5.832,1.90235
175,delete,207.19,-1.0,-1.0,0.0,1.83231
176,search,5494.86,0.88398,0.130233,5.931,1.83231
177,delete,22.514,-1.0,-1.0,0.0,1.82606
178,search,5397.71,0.88288,0.130668,6.038,1.82606
179,delete,267.643,-1.0,-1.0,0.0,1.72411
180,search,5034.55,0.87965,0.131832,6.232,1.72411
181,delete,31.629,-1.0,-1.0,0.0,1.71091
182,search,5287.41,0.87934,0.132458,6.236,1.71091
183,delete,188.799,-1.0,-1.0,0.0,1.64133
184,search,5057.33,0.87455,0.134677,6.135,1.64133
185,delete,11.897,-1.0,-1.0,0.0,1.63781
186,search,4909.34,0.87414,0.134872,5.931,1.63781
187,delete,224.575,-1.0,-1.0,0.0,1.54994
188,search,5121.41,0.87738,0.132038,6.132,1.54994
189,delete,10.57,-1.0,-1.0,0.0,1.54637
190,search,4926.5,0.87733,0.131965,6.229,1.54637
191,delete,3.941,-1.0,-1.0,0.0,1.54521
192,search,4937.78,0.87736,0.131998,6.225,1.54521
193,delete,66.946,-1.0,-1.0,0.0,1.51521
194,search,5087.8,0.87423,0.134004,6.461,1.51521
195,delete,50.011,-1.0,-1.0,0.0,1.50018
196,search,5223.3,0.87238,0.13519,6.312,1.50018
197,delete,49.944,-1.0,-1.0,0.0,1.48792
198,search,5121.57,0.87239,0.135136,1424.57,1.48475
199,delete,43.656,-1.0,-1.0,0.0,1.47944
200,search,4955.57,0.87175,0.135413,6.151,1.47944
201,delete,10.797,-1.0,-1.0,0.0,1.47612
202,search,5098.1,0.8716,0.13554,6.353,1.47612
203,delete,19.562,-1.0,-1.0,0.0,1.47069
204,search,4951.74,0.87137,0.135821,6.105,1.47069
205,delete,33.241,-1.0,-1.0,0.0,1.46155
206,search,4784,0.87109,0.136011,6.108,1.46155
207,delete,64.913,-1.0,-1.0,0.0,1.44045
