step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb,num_partitions
2,search,3046.98,0.84693,0.134675,2.186,0.0183474,512
3,insert,14.156,-1.0,-1.0,3.004,0.0223861,512
4,search,2186.43,0.85904,0.131452,2.242,0.0223861,512
5,insert,15.789,-1.0,-1.0,258.383,0.0328126,512
6,search,2233.5,0.9098,0.11532,443.456,0.0328126,512
7,insert,21.474,-1.0,-1.0,363.255,0.0423292,512
8,search,2288.37,0.89642,0.124485,385.37,0.0423292,512
9,insert,2.728,-1.0,-1.0,273.156,0.044075,512
10,search,2309.24,0.90145,0.121325,56.822,0.0441819,513
11,insert,8.477,-1.0,-1.0,2.087,0.0495871,513
12,search,2336.46,0.91057,0.11373,1227.26,0.0495871,513
13,insert,16.719,-1.0,-1.0,102.781,0.0604693,515
14,search,2275.27,0.90893,0.115698,105.085,0.0605239,517
15,insert,18.723,-1.0,-1.0,2.137,0.0687174,517
16,search,2379.33,0.91358,0.111333,94.063,0.0688859,518
17,insert,3.892,-1.0,-1.0,84.857,0.0712152,519
18,search,2447.64,0.9167,0.109808,92.406,0.0710169,520
19,insert,32.769,-1.0,-1.0,135.536,0.0784119,521
20,search,2493.74,0.92503,0.102272,109.37,0.0780337,522
