step_num,step_type,latency_ms,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,2632.01,0.78814,0.157167,27.1243,17.7481,5.413,0.0184881,1024,38806
3,insert,13.386,-1.0,-1.0,-1.0,-1.0,4.861,0.0226668,1024,49334
4,search,1917.41,0.80378,0.157445,25.2878,17.2311,5.214,0.0226668,1024,49334
5,insert,19.873,-1.0,-1.0,-1.0,-1.0,144.105,0.0334005,1024,73557
6,search,1888.79,0.8809,0.134059,18.3656,16.172,94.741,0.033569,1028,73557
7,insert,35.539,-1.0,-1.0,-1.0,-1.0,82.73,0.0429987,1029,95766
8,search,1946.28,0.87389,0.135667,18.3448,15.5452,83.028,0.0429987,1029,95766
9,insert,4.601,-1.0,-1.0,-1.0,-1.0,81.497,0.0447654,1029,100025
10,search,1850.54,0.87441,0.134003,18.1401,15.2176,82.995,0.0447654,1029,100025
11,insert,10.982,-1.0,-1.0,-1.0,-1.0,84.771,0.0495206,1029,111417
12,search,1925.55,0.87669,0.133554,17.9087,15.0639,19.749,0.049652,1030,111417
13,insert,34.869,-1.0,-1.0,-1.0,-1.0,5.36,0.0608124,1030,137139
14,search,1943.05,0.87135,0.137981,18.0877,14.8735,13.398,0.0608222,1032,137139
15,insert,18.482,-1.0,-1.0,-1.0,-1.0,5.164,0.0690103,1032,156710
16,search,1884.59,0.8661,0.137958,18.2658,14.554,12.344,0.0690157,1035,156710
17,insert,4.59,-1.0,-1.0,-1.0,-1.0,4.7,0.0713474,1035,161773
18,search,1982.27,0.86496,0.138886,18.2326,14.5256,5.175,0.0713474,1035,161773
19,insert,28.835,-1.0,-1.0,-1.0,-1.0,4.086,0.0781561,1035,177161
20,search,1836.34,0.87166,0.134643,17.8515,14.4067,7.754,0.0781561,1035,177161
21,insert,403.667,-1.0,-1.0,-1.0,-1.0,117.814,0.199758,1063,448898
22,search,2081.83,0.86327,0.134857,19.2662,15.0447,27.848,0.199809,1069,448898
23,insert,409.62,-1.0,-1.0,-1.0,-1.0,311.87,0.328989,1120,733493
24,search,2541.04,0.85706,0.137099,20.1174,15.5544,46.644,0.329308,1131,733493
25,insert,38.98,-1.0,-1.0,-1.0,-1.0,14.227,0.346145,1132,777443
26,search,2296.53,0.85619,0.13842,20.2556,15.629,7.125,0.346145,1132,777443
27,insert,29.156,-1.0,-1.0,-1.0,-1.0,10.562,0.357722,1133,805394
28,search,2309.62,0.85729,0.137691,20.2172,15.6079,13.596,0.35797,1134,805394
29,insert,67.381,-1.0,-1.0,-1.0,-1.0,35.009,0.385411,1141,866391
30,search,2259.64,0.86042,0.137113,19.9102,15.5618,14.225,0.385411,1143,866391
31,insert,449.841,-1.0,-1.0,-1.0,-1.0,344.588,0.55332,1199,1239816
32,search,2566.69,0.85078,0.143067,21.0299,16.3049,57.874,0.553319,1203,1239816
33,insert,49.195,-1.0,-1.0,-1.0,-1.0,21.03,0.573388,1207,1291211
34,search,2637.32,0.85248,0.141198,21.0615,16.3669,40.36,0.573391,1210,1291211
35,insert,48.962,-1.0,-1.0,-1.0,-1.0,28.407,0.585617,1215,1324978
36,search,2679.79,0.85453,0.13992,20.9283,16.3451,7.076,0.585617,1215,1324978
37,insert,67.274,-1.0,-1.0,-1.0,-1.0,28.986,0.607368,1219,1371885
38,search,2691.33,0.85524,0.139471,21.0539,16.5981,11.789,0.607368,1220,1371885
39,insert,8.003,-1.0,-1.0,-1.0,-1.0,6.592,0.610279,1220,1379335
40,search,2699.52,0.85643,0.139086,21.0585,16.6344,7.21,0.610279,1220,1379335
41,insert,36.694,-1.0,-1.0,-1.0,-1.0,26.993,0.623715,1226,1413312
42,search,2733.34,0.85614,0.139715,21.0612,16.6814,7.142,0.623715,1226,1413312
43,insert,10.595,-1.0,-1.0,-1.0,-1.0,6.634,0.627081,1226,1423411
44,search,2717.31,0.85652,0.139367,21.0669,16.7085,13.307,0.62731,1227,1423411
45,insert,196.158,-1.0,-1.0,-1.0,-1.0,11.277,0.640857,1229,1457559
46,search,2733.39,0.85693,0.13898,20.9978,16.7575,7.014,0.640857,1229,1457559
47,insert,322.675,-1.0,-1.0,-1.0,-1.0,232.876,0.746731,1259,1688593
48,search,2906.63,0.86012,0.140045,20.7731,16.9772,77.789,0.746751,1265,1688593
49,insert,45.189,-1.0,-1.0,-1.0,-1.0,19.325,0.76124,1268,1723505
