nprobe_percentage,step_num,step_type,latency_ms,recall_mean,recall_std_dev,mainteance_ms,index_mem_gb
0.95,2,search,9523.51,0.99971,0.00556076,9.033,0.0183461
0.95,3,insert,18.725,-1.0,-1.0,0.0,0.0223849
0.95,4,search,8441.92,0.9998,0.00468646,29.819,0.0224592
0.95,5,insert,32.874,-1.0,-1.0,0.0,0.0330443
0.95,6,search,8228.4,0.99993,0.0026449,105.336,0.0329754
0.95,7,insert,45.215,-1.0,-1.0,0.0,0.0423855
0.95,8,search,8388.71,0.99993,0.00264495,182.055,0.0422158
0.95,9,insert,5.194,-1.0,-1.0,0.0,0.0442806
0.95,10,search,8559.42,0.99992,0.00282753,132.976,0.0443737
0.95,11,insert,11.98,-1.0,-1.0,0.0,0.0493843
0.95,12,search,9087.21,0.99992,0.00282753,260.257,0.0494251
0.95,13,insert,45.997,-1.0,-1.0,0.0,0.0606586
0.95,14,search,9818.98,0.99994,0.0024489,337.415,0.0607059
0.95,15,insert,26.07,-1.0,-1.0,0.0,0.0692592
0.95,16,search,10597.9,0.99995,0.0022356,382.59,0.0695305
0.95,17,insert,5.274,-1.0,-1.0,0.0,0.0716848
0.95,18,search,10780.6,0.99996,0.00199968,215.298,0.0714449
0.95,19,insert,44.155,-1.0,-1.0,0.0,0.0780512
0.95,20,search,11964.3,0.99993,0.00264493,341.831,0.0780985
0.95,21,insert,463.795,-1.0,-1.0,0.0,0.19728
0.95,22,search,13010.3,0.99996,0.00199969,1886.63,0.196769
0.95,23,insert,480.486,-1.0,-1.0,0.0,0.320353
0.95,24,search,17137.2,0.99995,0.00223565,3961.6,0.322334
0.95,25,insert,63.865,-1.0,-1.0,0.0,0.34112
0.95,26,search,23845.3,0.99992,0.00282754,3079.21,0.341868
0.95,27,insert,48.103,-1.0,-1.0,0.0,0.353831
0.95,28,search,30776.5,0.99989,0.00331516,2836.04,0.354129
0.95,29,insert,94.993,-1.0,-1.0,0.0,0.380489
0.95,30,search,37498.2,0.9999,0.00316067,2164.36,0.381163
0.95,31,insert,722.609,-1.0,-1.0,0.0,0.544157
0.95,32,search,40686.7,0.99991,0.00299873,6087.03,0.544795
0.95,33,insert,89.047,-1.0,-1.0,0.0,0.566606
0.95,34,search,49355.1,0.99991,0.00299873,4477.65,0.567682
0.95,35,insert,77.839,-1.0,-1.0,0.0,0.582318
0.95,36,search,54964.6,0.99993,0.00264507,2566.38,0.582666
0.95,37,insert,124.842,-1.0,-1.0,0.0,0.60306
0.95,38,search,59086.5,0.99993,0.00264507,1764.02,0.603237
0.95,39,insert,12.458,-1.0,-1.0,0.0,0.606432
0.95,40,search,62049,0.99993,0.00264507,679.175,0.606314
0.95,41,insert,83.216,-1.0,-1.0,0.0,0.621281
0.95,42,search,62419.7,0.99991,0.0029987,855.505,0.621315
0.95,43,insert,34.744,-1.0,-1.0,0.0,0.625901
0.95,44,search,63523,0.99992,0.00282754,705.264,0.625923
0.95,45,insert,391.399,-1.0,-1.0,0.0,0.640966
0.95,46,search,64143.8,0.99993,0.00264507,1095.75,0.641074
0.95,47,insert,609.552,-1.0,-1.0,0.0,0.741265
0.95,48,search,64732.8,0.99996,0.00199959,4215.21,0.742498
0.95,49,insert,76.004,-1.0,-1.0,0.0,0.75791
0.95,50,search,69199.4,0.99997,0.00173174,2198.96,0.758022
0.95,51,insert,697.786,-1.0,-1.0,0.0,0.893925
0.95,52,search,74107.5,0.99995,0.00223571,11123,0.894839
0.95,53,insert,122.635,-1.0,-1.0,0.0,0.913612
0.95,54,search,83606.8,0.99994,0.0024489,5471.53,0.913871
0.95,55,insert,795.383,-1.0,-1.0,0.0,1.05568
0.95,56,search,90278.6,0.99997,0.00173174,10166.5,1.05468
0.95,57,insert,75.956,-1.0,-1.0,0.0,1.06361
0.95,58,search,94437.6,0.99997,0.00173174,3955.38,1.06383
0.95,59,insert,594.061,-1.0,-1.0,0.0,1.16262
0.95,60,search,100894,0.99997,0.00173174,7526.01,1.16071
0.95,61,insert,42.304,-1.0,-1.0,0.0,1.16506
0.95,62,search,104385,0.99996,0.00199968,3178.89,1.16621
0.95,63,insert,10.664,-1.0,-1.0,0.0,1.16759
0.95,64,search,104833,0.99998,0.00141404,2165.31,1.16709
0.95,65,insert,316.078,-1.0,-1.0,0.0,1.19644
0.95,66,search,110058,1,0,4346.5,1.19691
0.95,67,insert,157.995,-1.0,-1.0,0.0,1.21721
0.95,68,search,113969,0.99999,0.00099998,2253.5,1.21744
0.95,69,insert,182.197,-1.0,-1.0,0.0,1.2402
0.95,70,search,114961,0.99999,0.00099998,2267.82,1.24028
0.95,71,insert,59.067,-1.0,-1.0,0.0,1.24644
0.95,72,search,115971,0.99999,0.00099998,1543.38,1.2464
0.95,73,insert,33.238,-1.0,-1.0,0.0,1.24954
0.95,74,search,114229,0.99999,0.00099998,1369.61,1.24958
0.95,75,insert,77.963,-1.0,-1.0,0.0,1.25679
0.95,76,search,115734,0.99999,0.00099998,1425.66,1.25653
0.95,77,insert,114.327,-1.0,-1.0,0.0,1.2672
0.95,78,search,115305,0.99999,0.00099998,1521.6,1.2671
0.95,79,insert,757.383,-1.0,-1.0,0.0,1.29592
0.95,80,search,119677,0.99998,0.00141406,2552.79,1.29577
0.95,81,insert,105.653,-1.0,-1.0,0.0,1.30792
0.95,82,search,118010,0.99998,0.00141406,1794.7,1.30813
0.95,83,insert,52.859,-1.0,-1.0,0.0,1.31436
0.95,84,search,120107,0.99998,0.00141406,1491.52,1.31455
0.95,85,insert,119.219,-1.0,-1.0,0.0,1.3294
0.95,86,search,124109,0.99998,0.00141406,1885.07,1.32967
0.95,87,insert,1438.99,-1.0,-1.0,0.0,1.52354
0.95,88,search,125005,0.99998,0.00141406,22528.9,1.52442
0.95,89,insert,1336.56,-1.0,-1.0,0.0,1.68435
0.95,90,search,139715,0.99998,0.00141406,26890.2,1.68461
0.95,91,insert,144.186,-1.0,-1.0,0.0,1.69942
0.95,92,search,150429,0.99998,0.00141406,8889.88,1.69942
0.95,93,insert,981.427,-1.0,-1.0,0.0,1.80371
0.95,94,search,161753,0.99998,0.00141406,12834.3,1.8043
0.95,95,insert,67.921,-1.0,-1.0,0.0,1.8114
0.95,96,search,163073,0.99998,0.00141406,3668.88,1.81084
0.95,97,insert,47.185,-1.0,-1.0,0.0,1.81493
0.95,98,search,165485,0.99998,0.00141406,2184.61,1.81487
0.95,99,insert,26.804,-1.0,-1.0,0.0,1.81702
0.95,100,search,168676,0.99998,0.00141406,1852.2,1.81694
0.95,101,insert,151.763,-1.0,-1.0,0.0,1.8304
0.95,102,search,168870,0.99998,0.00141406,2254.32,1.83048
0.75,2,search,5157.84,0.99611,0.0205396,4.12,0.0183461
0.75,3,insert,10.416,-1.0,-1.0,0.0,0.0223849
0.75,4,search,5089.6,0.99683,0.0182473,14.831,0.0224592
0.75,5,insert,28.874,-1.0,-1.0,0.0,0.0330443
0.75,6,search,6423.46,0.99815,0.0139859,80.202,0.0330488
0.75,7,insert,38.547,-1.0,-1.0,0.0,0.0423284
0.75,8,search,6743.25,0.99799,0.0152642,165.47,0.0423373
0.75,9,insert,4.934,-1.0,-1.0,0.0,0.0440534
0.75,10,search,6821.04,0.99836,0.0137604,176.435,0.0441281
0.75,11,insert,14.41,-1.0,-1.0,0.0,0.0493398
0.75,12,search,7128.61,0.99831,0.0137901,212.535,0.0492244
0.75,13,insert,32.583,-1.0,-1.0,0.0,0.0603089
0.75,14,search,7527.01,0.99826,0.0142469,305.35,0.0604427
0.75,15,insert,26.629,-1.0,-1.0,0.0,0.0689651
0.75,16,search,8143.18,0.99834,0.0138294,395.425,0.0691254
0.75,17,insert,5.546,-1.0,-1.0,0.0,0.0712429
0.75,18,search,8802.48,0.99803,0.0152036,325.553,0.0712246
0.75,19,insert,49.576,-1.0,-1.0,0.0,0.0779957
0.75,20,search,9656.65,0.99806,0.0150428,311.335,0.0781646
0.75,21,insert,439.031,-1.0,-1.0,0.0,0.196456
0.75,22,search,10409,0.99791,0.0147873,1713.58,0.197361
0.75,23,insert,483.914,-1.0,-1.0,0.0,0.322766
0.75,24,search,13379.4,0.99769,0.0158647,3672.3,0.322244
0.75,25,insert,77.429,-1.0,-1.0,0.0,0.341349
0.75,26,search,17662.1,0.99646,0.0195844,3312.01,0.341526
0.75,27,insert,42.537,-1.0,-1.0,0.0,0.353945
0.75,28,search,18012.2,0.99603,0.0206218,2834.92,0.354809
0.75,29,insert,102.539,-1.0,-1.0,0.0,0.381047
0.75,30,search,27281.3,0.9965,0.0191771,2427.6,0.380739
0.75,31,insert,750.721,-1.0,-1.0,0.0,0.544619
0.75,32,search,32840.1,0.99652,0.0199991,6297.19,0.544806
0.75,33,insert,115.726,-1.0,-1.0,0.0,0.567317
0.75,34,search,37795.2,0.99658,0.0196043,4852.08,0.56763
0.75,35,insert,95.92,-1.0,-1.0,0.0,0.582627
0.75,36,search,44984.2,0.99717,0.0173504,2718.8,0.582984
0.75,37,insert,128.757,-1.0,-1.0,0.0,0.602918
0.75,38,search,45879.6,0.99748,0.0161148,2016.51,0.60316
0.75,39,insert,18.148,-1.0,-1.0,0.0,0.60627
0.75,40,search,47197.9,0.99751,0.0160257,899.167,0.606519
0.75,41,insert,120.724,-1.0,-1.0,0.0,0.621033
