step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,3070.27,37.3917,396.028,0.372447,499.333,0.83053,1.59165,0.83796,0.13696,-1.0,-1.0,7.297,0.0184881,1000,38806
3,insert,24.883,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.592,0.0226489,997,49334
4,search,2432.37,65.61,267.904,0.596273,173.074,1.39491,23.5485,0.85002,0.13685,-1.0,-1.0,17.203,0.0226571,995,49334
5,insert,20.717,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,148.071,0.0331908,984,73557
6,search,2305.81,193.134,226.938,0.869705,101.021,0.873411,18.4945,0.91587,0.110639,-1.0,-1.0,137.382,0.0331908,984,73557
7,insert,24.865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,136.613,0.0426695,984,95766
8,search,2351.84,245.376,331.776,0.719487,106.128,1.37675,17.5143,0.91691,0.110489,-1.0,-1.0,87.988,0.0430701,988,95766
9,insert,3.129,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.748,0.0447788,988,100025
10,search,2372.69,250.163,320.96,0.775866,106.396,1.37115,19.4719,0.91771,0.107466,-1.0,-1.0,74.929,0.0447788,988,100025
11,insert,8.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.981,0.0494549,989,111417
12,search,2446.48,294.312,405.716,0.627239,116.446,1.48712,17.7425,0.91734,0.108494,-1.0,-1.0,23.414,0.0498645,990,111417
13,insert,29.631,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.249,0.0612351,990,137139
14,search,2421.19,333.836,331.021,0.756576,119.366,1.40499,12.7426,0.91308,0.111165,-1.0,-1.0,15.033,0.061251,992,137139
15,insert,15.531,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.149,0.0699088,992,156710
16,search,2450.41,367.914,461.266,0.650374,100.993,1.65992,16.2248,0.91007,0.112083,-1.0,-1.0,6.311,0.0699088,992,156710
17,insert,4.465,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.042,0.0721524,993,161773
18,search,2491.08,385.117,469.72,0.625897,114.158,1.62688,15.5473,0.91228,0.111388,-1.0,-1.0,6.296,0.0721524,993,161773
19,insert,30.904,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.647,0.0788329,994,177161
20,search,2463.67,427.16,434.459,0.68179,108.157,1.762,15.8342,0.91619,0.108129,-1.0,-1.0,6.174,0.0788329,994,177161
21,insert,325.368,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,106.624,0.199226,1015,448898
22,search,2572.78,924.323,535.212,0.889352,78.4564,1.9074,6.57268,0.90782,0.109883,-1.0,-1.0,15.309,0.199226,1017,448898
23,insert,398.183,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,252.467,0.328008,1056,733493
24,search,2882.84,1302.93,798.997,0.793248,90.673,2.12338,10.1353,0.90258,0.111878,-1.0,-1.0,64.024,0.328007,1065,733493
