step_num,step_type,latency_ms,worker_partition_size,worker_scan_time_ms,worker_scan_throughput,worker_result_time_ms,measured_ipc,cache_miss_rate,recall_mean,recall_std_dev,gt_scan_mean,gt_scan_dev,mainteance_ms,index_mem_gb,num_partitions,num_vectors
2,search,3035.6,37.3917,420.231,0.382277,504.338,0.867317,3.24812,0.83796,0.13696,-1.0,-1.0,6.95,0.0184881,1000,38806
3,insert,25.975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.301,0.022655,996,49334
4,search,2370.06,65.5482,237.393,0.592827,151.278,1.13594,20.716,0.85049,0.13652,-1.0,-1.0,11.121,0.0226615,993,49334
5,insert,25.255,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,154.544,0.0329603,983,73557
6,search,2352.32,193.02,306.821,0.718086,108.047,1.30878,18.2649,0.91581,0.110963,-1.0,-1.0,129.304,0.0329986,984,73557
7,insert,23.544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,126.262,0.0424157,984,95766
8,search,2362.35,243.663,341.842,0.677268,102.619,1.57255,23.9914,0.91496,0.111011,-1.0,-1.0,80.92,0.042911,988,95766
9,insert,3.253,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.407,0.0446756,988,100025
10,search,2424.36,248.155,387.108,0.597508,114.716,1.40239,25.3986,0.91674,0.108386,-1.0,-1.0,24.446,0.045102,991,100025
11,insert,15.075,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.724,0.0497923,992,111417
12,search,2456.76,286.378,340.763,0.620804,127.185,1.43018,18.6114,0.91484,0.110118,-1.0,-1.0,14.452,0.0499502,994,111417
13,insert,18.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.06,0.0608532,994,137139
14,search,2392.17,324.008,279.62,0.789245,99.7453,1.37047,15.1104,0.91101,0.112744,-1.0,-1.0,14.047,0.0608716,997,137139
15,insert,15.206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.198,0.069633,997,156710
16,search,2385.43,356.422,287.099,0.770457,98.8011,1.46295,15.4498,0.90762,0.113728,-1.0,-1.0,6.247,0.069633,997,156710
17,insert,4.057,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.283,0.0717643,997,161773
18,search,2425.92,376.748,368.997,0.750144,98.8857,1.71388,18.4104,0.90924,0.113481,-1.0,-1.0,6.297,0.0717643,997,161773
19,insert,31.156,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.606,0.0786085,998,177161
20,search,2431.31,417.19,368.641,0.754435,97.1014,1.72491,21.242,0.91318,0.109991,-1.0,-1.0,6.338,0.0786085,998,177161
21,insert,318.612,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150.53,0.200787,1038,448898
22,search,2621.51,843.081,509.473,0.839114,75.1851,1.89609,13.5775,0.90153,0.113162,-1.0,-1.0,46.414,0.200816,1049,448898
23,insert,389.011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,236.892,0.328393,1094,733493
24,search,2917,1173.53,766.962,0.842252,78.3771,2.06638,10.4986,0.89616,0.115777,-1.0,-1.0,81.367,0.328673,1110,733493
25,insert,38.602,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.869,0.344932,1114,777443
26,search,2942.85,1161.84,778.321,0.855797,79.4583,2.18933,8.76152,0.89656,0.115824,-1.0,-1.0,19.327,0.344942,1116,777443
27,insert,30.004,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.566,0.355953,1117,805394
28,search,2879.78,1181.81,703.211,0.914815,67.1411,2.10186,9.3667,0.89704,0.115307,-1.0,-1.0,15.215,0.355974,1119,805394
29,insert,54.017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.861,0.383044,1128,866391
30,search,2968.2,1235.9,785.407,0.854108,67.4165,2.12757,10.3829,0.89924,0.115321,-1.0,-1.0,23.059,0.383044,1130,866391
31,insert,453.273,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,334.618,0.552862,1190,1239816
32,search,3260.36,1498.72,958.818,0.870608,72.1074,2.05855,8.94397,0.88958,0.121369,-1.0,-1.0,68.148,0.552916,1196,1239816
33,insert,44.691,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.798,0.572702,1203,1291211
34,search,3252.97,1509.86,909.114,0.899267,71.5206,2.1166,6.89881,0.8888,0.121983,-1.0,-1.0,33.866,0.57271,1205,1291211
35,insert,28.989,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.056,0.584599,1212,1324978
36,search,3299.42,1533.91,928.471,0.938225,69.982,2.09337,8.251,0.89032,0.120622,-1.0,-1.0,16.006,0.584599,1213,1324978
37,insert,44.573,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.031,0.605742,1219,1371885
38,search,3590.33,1552.76,964.783,0.889823,84.6972,2.17256,11.2212,0.89006,0.121573,-1.0,-1.0,10.689,0.605742,1219,1371885
39,insert,13.637,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.011,0.608441,1219,1379335
40,search,3432.21,1560.85,943.132,0.864369,73.1322,2.26521,8.30382,0.89087,0.121418,-1.0,-1.0,9.351,0.608441,1219,1379335
41,insert,54.656,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.722,0.622128,1224,1413312
42,search,3410.96,1582.26,1028.72,0.83453,80.1023,2.18424,8.96297,0.892,0.120769,-1.0,-1.0,8.91,0.622128,1224,1413312
43,insert,16.585,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.166,0.625911,1224,1423411
44,search,3369.78,1596.76,990.591,0.882051,81.4331,2.19832,7.79683,0.89242,0.120319,-1.0,-1.0,8.899,0.625911,1224,1423411
45,insert,197.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.795,0.642851,1231,1457559
46,search,3377.11,1610.03,992.018,0.854689,71.6573,2.07907,8.84385,0.89297,0.118827,-1.0,-1.0,8.621,0.642851,1231,1457559
47,insert,282.212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,240.219,0.748077,1264,1688593
48,search,3514.83,1755.28,1079.77,0.908995,76.4786,2.10633,7.74335,0.89387,0.119424,-1.0,-1.0,62.384,0.748077,1270,1688593
49,insert,36.032,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.023,0.762801,1272,1723505
50,search,3612.36,1760.31,1143.97,0.900675,98.3982,2.36903,7.57637,0.89462,0.119044,-1.0,-1.0,36.53,0.762807,1276,1723505
51,insert,312.706,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,208.19,0.900711,1311,2035040
52,search,3752.47,1954.7,1206.05,0.926171,86.0285,2.08198,7.43964,0.8975,0.118184,-1.0,-1.0,33.065,0.900711,1314,2035040
53,insert,45.689,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.371,0.917223,1318,2078341
54,search,3781.85,1979.61,1223.22,0.970751,88.3165,2.07803,6.85166,0.89761,0.118593,-1.0,-1.0,10.41,0.917223,1318,2078341
55,insert,416.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,401.633,1.0665,1367,2399905
56,search,4053.36,2166.51,1387.2,0.922167,112.087,2.16069,7.72146,0.90056,0.118392,-1.0,-1.0,99.117,1.06653,1380,2399905
57,insert,30.987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.25,1.07438,1384,2419836
58,search,4054.25,2119.71,1351.65,0.930816,111.615,2.20247,8.51779,0.89909,0.119262,-1.0,-1.0,65.788,1.07442,1391,2419836
59,insert,222.737,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,108.618,1.17291,1401,2643083
60,search,4164.69,2178.58,1411.28,0.912069,112.475,2.11429,6.87599,0.8931,0.125411,-1.0,-1.0,61.905,1.17353,1408,2643083
61,insert,11.629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.731,1.17703,1410,2653064
62,search,4244.38,2167.7,1475.38,0.921919,125.286,2.15535,7.6848,0.89305,0.125482,-1.0,-1.0,15.291,1.17704,1411,2653064
63,insert,2.819,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.405,1.17793,1411,2656118
64,search,4129.84,2167.31,1389.53,0.942525,109.384,2.14315,9.03602,0.89284,0.125525,-1.0,-1.0,10.916,1.17793,1411,2656118
65,insert,77.318,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,103.552,1.20793,1432,2723424
66,search,4221.1,2188.06,1421.74,0.949361,116.094,2.1466,9.45562,0.89358,0.125179,-1.0,-1.0,10.057,1.20793,1432,2723424
67,insert,44.238,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.685,1.22887,1447,2769021
68,search,4280,2202.74,1435.45,0.946927,124.751,2.18624,8.28047,0.8951,0.124238,-1.0,-1.0,19.65,1.22888,1449,2769021
69,insert,49.515,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.921,1.25096,1457,2821777
70,search,4314.18,2222.62,1454.55,0.897541,121.701,2.18296,7.10808,0.89674,0.122815,-1.0,-1.0,10.321,1.25096,1457,2821777
71,insert,15.358,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.921,1.25685,1461,2834921
72,search,4336.86,2226.55,1468.08,0.889896,122.891,2.17387,7.53162,0.89742,0.122313,-1.0,-1.0,13.824,1.25685,1461,2834921
73,insert,7.146,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.889,1.25892,1461,2842044
74,search,4336.7,2231.56,1474.8,0.950467,120.822,2.2214,7.55198,0.89751,0.12232,-1.0,-1.0,13.304,1.25892,1461,2842044
75,insert,24.165,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.469,1.2636,1462,2858890
76,search,4361.67,2241.33,1490.39,0.968308,134.077,2.31167,7.23226,0.89745,0.122324,-1.0,-1.0,19.894,1.2637,1463,2858890
